t,h,label,relatedness_score,sentence_h_en,sentence_t_en
الصبي والفتاة يلعبان ويرتديان ذراعان عوامة,صبي وفتاة يرتدون ملابس السباحة يرتدون عوامات للذراع,0,4.4,A boy and a girl in swimsuits are wearing arm floats,The boy and the girl are playing and wearing arm floats
يركض كلب كبير على العشب بالكرة   التنس في فمه,كلب من الحجم الكبير يعمل على العشب بالكرة   التنس في فمه,1,4.7,A dog of large size is running on the grass with a tennis ball in its mouth,A large dog is running on the grass with a tennis ball in its mouth
رجل بلا قميص يقفز فوق جذوع الأشجار,رجل بلا قميص يقفز فوق جذوع الأشجار,1,4.9,A man with no shirt is jumping over a log,A shirtless man is jumping over a log
امرأة تقلي شيء,امرأة تقلي البطاطا,1,4.8,Something is being fried by a woman,A woman is frying something
يركض كلب أبيض وسمر في حقل,يركض كلب أبيض وسمر عبر العشب الطويل والأخضر,1,4.35,A white and tan dog is running through the tall and green grass,A white and tan dog is running through a field
يركض كلب على الأرض,يركض كلب   كبير على الأرض,1,4.2,A big dog is running on the ground,A dog is running on the ground
تجلس بطة كبيرة فوق مجرى صخري,لا يوجد رجل يركب دراجة على الشاطئ,1,3.9,There is no man on a bicycle riding on the beach,A person is riding a bicycle in the sand beside the ocean
رجل يعزف على الغيتار,المرأةيعزف على الغيتار الكهربائي,0,3.6,The woman is playing an electric guitar,A man is playing an acoustic guitar
شخصان على كرسيين يقرآن,شخصان على كرسيين يقرآن بسرور,1,4.5,Two people in two chairs are reading pleasantly,Two people in two chairs are reading
ممارس كاراتيه يركل رجلاً آخر يرتدي قفازات الملاكمة الواقية,الرجل يركل مدرب الملاكمة,1,3.65,The man is kicking a boxing trainer,The man is kick boxing with a trainer
لاعبي كرة القدم مختلفة تجمعوا  في حقل,فريقين يلعبون كرة القدم,0,2.8,Two teams are playing soccer,Different football players are teaming on a field
كان هناك طفل صغير يقفز في بركة في الشارع,طفل صغير  حافي القدمين ويسير في بركة من الطين,0,2.9,A young child is barefoot and is walking past a puddle full of mud,A little boy is jumping into a puddle on the street
يقوم الطباخ بتقطيع بعض الفليفلة الحلوة,يفرم الشخص حبة فلفل برتقالية اللون,0,4.1,A cook is slicing some bell peppers,An orange pepper is being diced up by a person
الهواء يخدع راكب دراجة يؤدي,رجل واحد يقوم به خدعة دراجة في الجو,0,3.0,One man is doing a bicycle trick in midair,The air is tricking a performing cyclist
رجل آخذ في الارتفاع من مستنقع,رجل يسير في الماء,0,2.9,A man is going into the water,A man is rising from a swamp
كلب يفقد كرة على العشب,كلب يطارد كرة في العشب,0,4.1,A dog is chasing a ball in the grass,A dog is losing a ball on the grass
لا يوجد  فتاة تقفز إلى السيارة,هناك فتاة  تقفز على سيارة بتهور,0,4.2,The girl is recklessly jumping onto a vehicle,One girl is jumping on the car
امرأةتجلس بالقرب من كلب أبيض,امرأة ترتدي معطف أبيض تجلس بالقرب من كلب أبيض,1,4.4,"A woman, who is old, is near a dog that has a white coat","A woman, who is old, is near a white dog"
فتاة صغيرة ذات شعر أشقر تبتسم وتجلس على أرجوحة,الفتاة الصغيرة ذات الشعر الأشقر تبتسم وتجلس على أرجوحة,1,4.8,"A girl, who is little, with blond hair is smiling and sitting on a swing",A little girl with blond hair is smiling and sitting on a swing
الأطفال لا يطاردون بعضهم البعض في الرمال,طائر بحري يطير فوق بعض الصخور,0,2.3,A seabird is flying over some rocks,"A large stream is full of rocks, ducks and flies"
امرأة كسرت البيض في وعاء,المرأة كسرت اثنين من البيض في وعاء زجاجي,1,4.3,The woman is cracking two eggs into a glass bowl,A woman is cracking an egg into a bowl
الفتاة الصغيرة تطاير شعرها,الفتاة الصغيرة تمشط شعرها في شكل ذيل حصان.,2,3.5,Tofu is being sliced by a woman,Tofu isn't being sliced by a woman
ليس هناك قط يلعب بالبطيخ,يلعب القط بالبطيخ,2,3.4,The cat is playing with a watermelon,There is no cat playing with a watermelon
لاعب كرة قدم يرتدي الزي الأحمر والأبيض يرفعه اثنان من زملائه في الفريق,لاعبو كرة القدم باللونين الأحمر والأبيض يقفزون ويعانقون بعضهم البعض,0,3.8,Football players in red and white are jumping and hugging each other,A football player in a red and white uniform is being lifted by two teammates
الشاب يتسلق الصخور,الرجل الذي يرتدي قبعة أرجوانية لا يتسلق جدارًا صخريًا بيده العارية,0,2.8,A man in a purple hat isn't climbing a rocky wall with bare hands,The young man is rock climbing
زوجان ينظران إلى الخريطة,رجل وامرأة يقفان أمام معرض فني وينظران إلى لافتة,0,2.3,A man and a woman are standing in front of an art gallery and are looking at a signboard ,A couple is looking at a map
الشخص يقوم بتقطيع  الخضروات,شخص ما قطع الطماطم,1,4.6,Someone is cutting a tomato,The person is slicing a vegetable
طفل صغير يركب دراجة بخارية ثلاثية العجلات أسفل الرصيف,يركب الطفل الصغير دراجة بخارية ثلاثية العجلات أسفل الرصيف,1,4.9,The young child is riding a three wheeled scooter down the sidewalk,A young child is riding a three wheeled scooter down the sidewalk
الرجل يغني ويلعب الجيتار,لا يوجد رجل يغني ويلعب الجيتار,2,4.0,There is no man singing and playing the guitar,The man is singing and playing the guitar
شخص يحرق بعض الكاميرات بشعلة,لا يوجد شخص يشعل النار في الكاميرات,0,3.3,A person by some cameras is blowing on a burning torch,A person is burning some cameras with a blow torch
يتنقل المشاة والسيارات وسط ازدحام مروري في مدينة كبيرة,بعض الناس والمركبات في شارع شبه فارغ,0,2.6,Some people and vehicles are on a almost empty street,Pedestrians and cars are moving through a traffic jam in a big city
ليس هناك رجل يعزف  على الغيتار,رجل يعزف على الغيتار,2,3.5,A man is playing the guitar,There is no man playing the guitar
شخص على دراجة ترابية صفراء يقفز,لا يوجد راكب دراجة على دراجة صفراء محمولة جواً,2,3.7,There is no cyclist on a yellow bike airborne,A person on a yellow dirt bike is taking a jump
القط يكتب على لوحة المفاتيح,يعزف القط على البيانو,0,4.1,A cat is playing a piano,A cat is playing a keyboard
طفلين مراهق التوأم يلعبون مبارزة العصي,صبيان يرتدون القمصان البنية ويلعبون شد الحبل على منصة خشبية,0,2.4,Two boys are wearing brown shirts and are tugging at a rope on a wooden platform,Two twin preteen kids are dueling with sticks
فرقة تعزف على بعض الآلات,فرقة لا تعزف على بعض الآلات,2,3.8,A band is not playing some instruments,A band is playing some instruments
فتاة صغيرة تجلس في ملابس السباحة,طفلة صغيرة ترتدي بدلة سباحة منقوشة باللون الأزرق وقبعة سباحة باللونين الأسود والأصفر وعلى رأسها نظارات سباحة زرقاء,0,4.185,"A little girl is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swimming goggles on the head",A young girl is sitting in swimming gear
